[00:00] A:  Il est là.
[00:00] B:  Et comme ça, du coup, faites-moi un petit point sur ce que vous avez fait pour que je puisse voir un petit peu où vous en êtes,
[00:12] B:  comment ça avance, s'il y a des blocages, etc.
[00:16] A:  Moi, écoutez, j'ai finalisé le site, je pense. Il ne m'empêche plus qu'à vraiment tout mettre en ligne
[00:23] @:  avec...
[00:27] A:  euh alors j'essaye de le pool parce que j'ai tout fait à Polytech en fait sauf que vu que les discord de Polytech marchaient pas j'ai dû rentrer chez moi sauf que j'arrive pas à connecter mon pool donc mon git mon VS Code j'essaie de le j'essaie de le faire là
[00:47] B:  Wait up.
[00:50] A:  bah c'est que je sais pas il veut pas me connecter tu sais c'est mon nouveau pc là donc il faut que je m'authentifie sur VSCode mais il veut pas
[01:00] B:  Sous-titrage ST' 501
[01:02] B:  il veut pas
[01:04] A:  dans le terminal ouais en général quoi il veut que je fasse un guide contrôle user.main et je le mets et ça change rien
[01:16] A:  C'était dans travail,
[01:18] A:  là je passe par le bas.
[01:21] A:  Vas-y.
[01:22] A:  Ouais.
[01:24] A:  J'essaye.
[01:25] A:  Copier l'adresse.
[01:28] A:  C'était,
[01:29] A:  je n'avais plus su.
[01:32] A:  Un peu plus tôt.
[01:35] A:  Poule.
[01:36] A:  Vas-y, moi qui sors.
[01:37] A:  Ok.
[01:37] A:  Ça poule, je crois.
[01:42] A:  Sinon,
[01:43] A:  peut-être Quentin, soit on parle du Bud Discord,
[01:46] A:  soit on parle de tips qu'on a essayé.
[01:50] B:  Ouais, on peut parler de
[01:52] A:  C'est ça.
[01:53] B:  du panneau en devant.
[01:56] A:  En plus, on a eu des questions.
[02:02] B:  Il n'est pas devant sa caméra.
[02:08] B:  Voilà,
[02:09] B:  c'est pas vrai.
[02:11] C:  Bah du coup moi Discord qui marchait pas j'avais un problème mais il battait vraiment des heures dessus et en fait le seul souci c'était une version de Node qui était pas qui était pas la bonne j'avais c'était c'était laquelle version j'ai plus c'était la 22.6 je crois que
[02:31] C:  là là si package
