[00:08] A:  Lorsque les enfants seront en vacances à compter de vendredi soir,
[00:11] A:  il y a 15 jours ici de congés,
[00:14] A:  nous aurons évidemment une attention particulière à la rentrée avec déjà un courrier que nous allons envoyer aux élèves, aux parents pour rappeler l'importance aussi de respecter les gestes barrières même pendant les périodes de vacances scolaires.
[00:27] A:  C'est aussi la remise de masques supplémentaires, donc deux de plus dans les écoles élémentaires et qui grâce au soutien de la préfecture.
[00:35] A:  Et c'est la mise en place aussi de tests salivaires à la rentrée suite aux vacances de Pâques. Mais nous préférerions bien entendu que les parents acceptent tous le port du masque pour leurs enfants parce que ça permet aux enfants de venir dans les classes.
[00:49] A:  C'est toujours difficile pour les directeurs, les directrices d'école d'avoir ces discussions avec les parents.
[00:57] A:  Maintenant ce sont des choix.
[00:58] A:  Nous sommes face finalement à une question de santé publique et en face certains...
[01:03] A:  Certains invoquent la liberté individuelle, mais cela conduit effectivement à ce qu'ils mettent en place alors l'instruction à domicile. Ce qui est rassurant, c'est que nous avons à ce jour dans les remontées 28 cas d'enfants qui refusent le port du masque par rapport aux 30 000 que l'on accueille chaque jour.
[01:19] A:  Mais le préfet prendra peut-être des mesures complémentaires effectivement pour essayer de limiter le développement de ce virus. Et évidemment on travaille main dans la main.
[01:30] A:  Pour ce qui concerne le scolaire, c'est normal.
[01:34] A:  Maintenant, encore une fois, c'est vrai que c'est un point d'attention parce que nous avions l'expérience des vacances de carnaval, nous avons eu plus de cas après les vacances de carnaval qu'avant et donc on ne souhaite pas arriver dans cette situation à la suite des vacances de Pâques.
[01:48] A:  Le bilan est plutôt négatif parce que nous avons une légère augmentation, enfin une augmentation de 20% à peu près des cas.
[01:56] A:  Quoi ?
[01:56] A:  Alors que la la semaine dernière on pensait diminuer encore, puisque on avait a un taux de reproduction qui est inférieur à 1. Alors c'est vrai qu'on a variangs anglais qui se comportent différemment, qui sont beaucoup plus contagieux, qui se transmettent beaucoup plus facilement, et on est passé maintenant à quatre-vingt dix pour cent de variangs anglais. Donc il faut vraiment redoubler d'attention pour ne pas se le transmettre. Je sais aussi qu'on en a tous un peu assez hein, de ça. Mais sincèrement euh il faut pas qu'on augmente, c'est trop problématique.
[02:21] A:  pour l'hôpital il ya malheureusement eu quatre personnes qui sont mortes la semaine dernière et ces personnes se sont sûrement contaminés à peu près trois semaines ce qui veut dire qu'il ya un délai et si on continue à augmenter la pression hospitalière elle va continuer augmenter de manière très importante dans les quinze jours prochains. La vaccination elle marche plutôt bien parce qu'on a 13 centres de vaccination enfin il y en a deux qui sont dans les îles du nord on est dans une dynamique qui s'est bien enclenchée ils ont augmenté leur
[02:48] A:  Il y a leur plage de vaccination.
[02:50] A:  Il y en a qui vaccinent aussi le samedi.
[02:52] A:  La ville maintenant vaccine aussi avec le vaccin AstraZeneca pour les personnes de plus de 55 ans.
[02:58] A:  Donc en pratique, on est dans une dynamique.
[03:00] A:  Mais on va certainement mettre en place des opérations coup de poing de vaccination pour que les gens puissent accéder plus facilement sans rendez-vous.
[03:08] A:  Et donc on travaille là-dessus aussi peut-être avec des grands espaces de vaccination.
[03:13] B:  Je pense qu'il est important de mentionner que nous avons une augmentation cette semaine.
[03:16] B:  Semaines. Donc il faut que nous restions extrêmement vigilant. J'espère vraiment que ça n'est qu'une petite augmentation and that the week next we will be able to find the tendency to the down that we were experiencing before.
[03:25] B:  Because this otherwise will mean that we will have to take different measures because we cannot jiggle uh this augmentation. The pressure at the hospital is entering augmenting.
[03:32] B:  Uh there were four deaths last year. Well, I don't know. The uh the elements that s uh c c really me me found to g that we are not in a in a phase that is very positive in this moment. It should be really that we are finding what we were experiencing last week.
[03:42] B:  Dernière. Devant nous on a une somme deux semaines importantes sur les les semaines des vacances scolaires,
